n,(n * (n - 1)) / 2,n * n,comparison,swaps
1,0,1,0,0
2,1,4,2,1
3,3,9,4,2
4,6,16,6,3
5,10,25,7,3
6,15,36,9,4
7,21,49,13,7
8,28,64,24,17
9,36,81,29,21
10,45,100,39,30
11,55,121,55,45
12,66,144,60,49
13,78,169,48,36
14,91,196,50,37
15,105,225,60,46
16,120,256,88,73
17,136,289,62,46
18,153,324,105,88
19,171,361,100,82
20,190,400,126,107
21,210,441,106,86
22,231,484,136,115
23,253,529,140,118
24,276,576,153,130
25,300,625,170,146
26,325,676,205,180
27,351,729,186,160
28,378,784,231,204
29,406,841,228,200
30,435,900,252,223
31,465,961,243,213
32,496,1024,267,236
33,528,1089,277,245
34,561,1156,364,331
35,595,1225,325,291
36,630,1296,283,248
37,666,1369,339,303
38,703,1444,421,384
39,741,1521,466,428
40,780,1600,385,346
41,820,1681,482,442
42,861,1764,420,379
43,903,1849,437,395
44,946,1936,617,574
45,990,2025,532,488
46,1035,2116,544,499
47,1081,2209,600,554
48,1128,2304,497,450
49,1176,2401,711,663
50,1225,2500,622,573
51,1275,2601,781,731
52,1326,2704,713,662
53,1378,2809,676,624
54,1431,2916,877,824
55,1485,3025,744,690
56,1540,3136,762,707
57,1596,3249,854,798
58,1653,3364,892,835
59,1711,3481,968,910
60,1770,3600,937,878
61,1830,3721,926,866
62,1891,3844,940,879
63,1953,3969,1157,1095
64,2016,4096,1201,1138
65,2080,4225,957,893
66,2145,4356,1207,1142
67,2211,4489,1060,994
68,2278,4624,1310,1243
69,2346,4761,1354,1286
70,2415,4900,1196,1127
71,2485,5041,1335,1265
72,2556,5184,1401,1330
73,2628,5329,1394,1322
74,2701,5476,1507,1434
75,2775,5625,1466,1392
76,2850,5776,1405,1330
77,2926,5929,1702,1626
78,3003,6084,1361,1284
79,3081,6241,1536,1458
80,3160,6400,1602,1523
81,3240,6561,1616,1536
82,3321,6724,1721,1640
83,3403,6889,1762,1680
84,3486,7056,2010,1927
85,3570,7225,1889,1805
86,3655,7396,1875,1790
87,3741,7569,1797,1711
88,3828,7744,1883,1796
89,3916,7921,1843,1755
90,4005,8100,2201,2112
91,4095,8281,1825,1735
92,4186,8464,2051,1960
93,4278,8649,2165,2073
94,4371,8836,2398,2305
95,4465,9025,2396,2302
96,4560,9216,2458,2363
97,4656,9409,2378,2282
98,4753,9604,2565,2468
99,4851,9801,2299,2201
100,4950,10000,2747,2648
101,5050,10201,2915,2815
102,5151,10404,2640,2539
103,5253,10609,2803,2701
104,5356,10816,2720,2617
105,5460,11025,2958,2854
106,5565,11236,3173,3068
107,5671,11449,2876,2770
108,5778,11664,3019,2912
109,5886,11881,3323,3215
110,5995,12100,2922,2813
111,6105,12321,2980,2870
112,6216,12544,3156,3045
113,6328,12769,3447,3335
114,6441,12996,3478,3365
115,6555,13225,3316,3202
116,6670,13456,3278,3163
117,6786,13689,3534,3418
118,6903,13924,3453,3336
119,7021,14161,3856,3738
120,7140,14400,3512,3393
121,7260,14641,3867,3747
122,7381,14884,3461,3340
123,7503,15129,3646,3524
124,7626,15376,3826,3703
125,7750,15625,4076,3952
126,7875,15876,4128,4003
127,8001,16129,3863,3737
128,8128,16384,4214,4087
129,8256,16641,4302,4174
130,8385,16900,4281,4152
131,8515,17161,4406,4276
132,8646,17424,4629,4498
133,8778,17689,4291,4159
134,8911,17956,4799,4666
135,9045,18225,4621,4487
136,9180,18496,4465,4330
137,9316,18769,4850,4714
138,9453,19044,4608,4471
139,9591,19321,4690,4552
140,9730,19600,4582,4443
141,9870,19881,5140,5000
142,10011,20164,4991,4850
143,10153,20449,5805,5663
144,10296,20736,5141,4998
145,10440,21025,5643,5499
146,10585,21316,4775,4630
147,10731,21609,5639,5493
148,10878,21904,5454,5307
149,11026,22201,6007,5859
150,11175,22500,6113,5964
151,11325,22801,4994,4844
152,11476,23104,5448,5297
153,11628,23409,6426,6274
154,11781,23716,6025,5872
155,11935,24025,6196,6042
156,12090,24336,6445,6290
157,12246,24649,6329,6173
158,12403,24964,6518,6361
159,12561,25281,6606,6448
160,12720,25600,6214,6055
161,12880,25921,6742,6582
162,13041,26244,6680,6519
163,13203,26569,6702,6540
164,13366,26896,7411,7248
165,13530,27225,7219,7055
166,13695,27556,7105,6940
167,13861,27889,7597,7431
168,14028,28224,7268,7101
169,14196,28561,7350,7182
170,14365,28900,7016,6847
171,14535,29241,8093,7923
172,14706,29584,7305,7134
173,14878,29929,7654,7482
174,15051,30276,7674,7501
175,15225,30625,7690,7516
176,15400,30976,7481,7306
177,15576,31329,8148,7972
178,15753,31684,8093,7916
179,15931,32041,7912,7734
180,16110,32400,8713,8534
181,16290,32761,8531,8351
182,16471,33124,9173,8992
183,16653,33489,8875,8693
184,16836,33856,8443,8260
185,17020,34225,8019,7835
186,17205,34596,8575,8390
187,17391,34969,8680,8494
188,17578,35344,8435,8248
189,17766,35721,7997,7809
190,17955,36100,8679,8490
191,18145,36481,8676,8486
192,18336,36864,9111,8920
193,18528,37249,9362,9170
194,18721,37636,9637,9444
195,18915,38025,9647,9453
196,19110,38416,9962,9767
197,19306,38809,9645,9449
198,19503,39204,9411,9214
199,19701,39601,9665,9467
200,19900,40000,9559,9360
201,20100,40401,9614,9414
202,20301,40804,10572,10371
203,20503,41209,10405,10203
204,20706,41616,11581,11378
205,20910,42025,11119,10915
206,21115,42436,10841,10636
207,21321,42849,10467,10261
208,21528,43264,11210,11003
209,21736,43681,10381,10173
210,21945,44100,11847,11638
211,22155,44521,11982,11772
212,22366,44944,11264,11053
213,22578,45369,12303,12091
214,22791,45796,10647,10434
215,23005,46225,12551,12337
216,23220,46656,11419,11204
217,23436,47089,12169,11953
218,23653,47524,11241,11024
219,23871,47961,11646,11428
220,24090,48400,12940,12721
221,24310,48841,11960,11740
222,24531,49284,11541,11320
223,24753,49729,12378,12156
224,24976,50176,12228,12005
225,25200,50625,12457,12233
226,25425,51076,12723,12498
227,25651,51529,13417,13191
228,25878,51984,13218,12991
229,26106,52441,13846,13618
230,26335,52900,12822,12593
231,26565,53361,13998,13768
232,26796,53824,13307,13076
233,27028,54289,13681,13449
234,27261,54756,14307,14074
235,27495,55225,13838,13604
236,27730,55696,13457,13222
237,27966,56169,14596,14360
238,28203,56644,13691,13454
239,28441,57121,14396,14158
240,28680,57600,15005,14766
241,28920,58081,14977,14737
242,29161,58564,14746,14505
243,29403,59049,15479,15237
244,29646,59536,14548,14305
245,29890,60025,13799,13555
246,30135,60516,14816,14571
247,30381,61009,15338,15092
248,30628,61504,15871,15624
249,30876,62001,16196,15948
250,31125,62500,15354,15105
251,31375,63001,16377,16127
252,31626,63504,16617,16366
253,31878,64009,16002,15750
254,32131,64516,16466,16213
255,32385,65025,16444,16190
256,32640,65536,16706,16451
257,32896,66049,16797,16541
258,33153,66564,16880,16623
259,33411,67081,16897,16639
260,33670,67600,17488,17229
261,33930,68121,14773,14513
262,34191,68644,16949,16688
263,34453,69169,17698,17436
264,34716,69696,17522,17259
265,34980,70225,18505,18241
266,35245,70756,17652,17387
267,35511,71289,18470,18204
268,35778,71824,17603,17336
269,36046,72361,17815,17547
270,36315,72900,17152,16883
271,36585,73441,17637,17367
272,36856,73984,19446,19175
273,37128,74529,18089,17817
274,37401,75076,19040,18767
275,37675,75625,19844,19570
276,37950,76176,19924,19649
277,38226,76729,19193,18917
278,38503,77284,19404,19127
279,38781,77841,19735,19457
280,39060,78400,19861,19582
281,39340,78961,20210,19930
282,39621,79524,19905,19624
283,39903,80089,19841,19559
284,40186,80656,21039,20756
285,40470,81225,20512,20228
286,40755,81796,20618,20333
287,41041,82369,19499,19213
288,41328,82944,21550,21263
289,41616,83521,22081,21793
290,41905,84100,20861,20572
291,42195,84681,21680,21390
292,42486,85264,22196,21905
293,42778,85849,21295,21003
294,43071,86436,21244,20951
295,43365,87025,23667,23373
296,43660,87616,23328,23033
297,43956,88209,21242,20946
298,44253,88804,22157,21860
299,44551,89401,23516,23218
300,44850,90000,22405,22106
301,45150,90601,24660,24360
302,45451,91204,22515,22214
303,45753,91809,23014,22712
304,46056,92416,21420,21117
305,46360,93025,22249,21945
306,46665,93636,23587,23282
307,46971,94249,23605,23299
308,47278,94864,25871,25564
309,47586,95481,23348,23040
310,47895,96100,23123,22814
311,48205,96721,23676,23366
312,48516,97344,26542,26231
313,48828,97969,25298,24986
314,49141,98596,25251,24938
315,49455,99225,25780,25466
316,49770,99856,25817,25502
317,50086,100489,24407,24091
318,50403,101124,25786,25469
319,50721,101761,26658,26340
320,51040,102400,25238,24919
321,51360,103041,25636,25316
322,51681,103684,26639,26318
323,52003,104329,27416,27094
324,52326,104976,26119,25796
325,52650,105625,26467,26143
326,52975,106276,27866,27541
327,53301,106929,26800,26474
328,53628,107584,25722,25395
329,53956,108241,26726,26398
330,54285,108900,27830,27501
331,54615,109561,27549,27219
332,54946,110224,29021,28690
333,55278,110889,27231,26899
334,55611,111556,26093,25760
335,55945,112225,27805,27471
336,56280,112896,28325,27990
337,56616,113569,27493,27157
338,56953,114244,28371,28034
339,57291,114921,30583,30245
340,57630,115600,30501,30162
341,57970,116281,28967,28627
342,58311,116964,29867,29526
343,58653,117649,31008,30666
344,58996,118336,29908,29565
345,59340,119025,30045,29701
346,59685,119716,30077,29732
347,60031,120409,30697,30351
348,60378,121104,31127,30780
349,60726,121801,32020,31672
350,61075,122500,30191,29842
351,61425,123201,32518,32168
352,61776,123904,31300,30949
353,62128,124609,31106,30754
354,62481,125316,31447,31094
355,62835,126025,31021,30667
356,63190,126736,32033,31678
357,63546,127449,32842,32486
358,63903,128164,32802,32445
359,64261,128881,31819,31461
360,64620,129600,30758,30399
361,64980,130321,33712,33352
362,65341,131044,34725,34364
363,65703,131769,33489,33127
364,66066,132496,33437,33074
365,66430,133225,33135,32771
366,66795,133956,36392,36027
367,67161,134689,32099,31733
368,67528,135424,32963,32596
369,67896,136161,34993,34625
370,68265,136900,33426,33057
371,68635,137641,34075,33705
372,69006,138384,35330,34959
373,69378,139129,34399,34027
374,69751,139876,35398,35025
375,70125,140625,36382,36008
376,70500,141376,33936,33561
377,70876,142129,35769,35393
378,71253,142884,36641,36264
379,71631,143641,37371,36993
380,72010,144400,35410,35031
381,72390,145161,38068,37688
382,72771,145924,34274,33893
383,73153,146689,38355,37973
384,73536,147456,36869,36486
385,73920,148225,36536,36152
386,74305,148996,38604,38219
387,74691,149769,40082,39696
388,75078,150544,38403,38016
389,75466,151321,38539,38151
390,75855,152100,38444,38055
391,76245,152881,38537,38147
392,76636,153664,38936,38545
393,77028,154449,39273,38881
394,77421,155236,37241,36848
395,77815,156025,38302,37908
396,78210,156816,40506,40111
397,78606,157609,40334,39938
398,79003,158404,38872,38475
399,79401,159201,41117,40719
400,79800,160000,37783,37384
401,80200,160801,40597,40197
402,80601,161604,39645,39244
403,81003,162409,41986,41584
404,81406,163216,42336,41933
405,81810,164025,40822,40418
406,82215,164836,40972,40567
407,82621,165649,43278,42872
408,83028,166464,42421,42014
409,83436,167281,42994,42586
410,83845,168100,43567,43158
411,84255,168921,45540,45130
412,84666,169744,43867,43456
413,85078,170569,43902,43490
414,85491,171396,44210,43797
415,85905,172225,42568,42154
416,86320,173056,43273,42858
417,86736,173889,43772,43356
418,87153,174724,46298,45881
419,87571,175561,46510,46092
420,87990,176400,44183,43764
421,88410,177241,43959,43539
422,88831,178084,44070,43649
423,89253,178929,46413,45991
424,89676,179776,45512,45089
425,90100,180625,44011,43587
426,90525,181476,46417,45992
427,90951,182329,44443,44017
428,91378,183184,47601,47174
429,91806,184041,44157,43729
430,92235,184900,45393,44964
431,92665,185761,47059,46629
432,93096,186624,46759,46328
433,93528,187489,50393,49961
434,93961,188356,47161,46728
435,94395,189225,47975,47541
436,94830,190096,46967,46532
437,95266,190969,50842,50406
438,95703,191844,45859,45422
439,96141,192721,52965,52527
440,96580,193600,49935,49496
441,97020,194481,48078,47638
442,97461,195364,47376,46935
443,97903,196249,48636,48194
444,98346,197136,49217,48774
445,98790,198025,47918,47474
446,99235,198916,47725,47280
447,99681,199809,51673,51227
448,100128,200704,51876,51429
449,100576,201601,48033,47585
450,101025,202500,49188,48739
451,101475,203401,53075,52625
452,101926,204304,49919,49468
453,102378,205209,48274,47822
454,102831,206116,51688,51235
455,103285,207025,53889,53435
456,103740,207936,53006,52551
457,104196,208849,53166,52710
458,104653,209764,53182,52725
459,105111,210681,55852,55394
460,105570,211600,52346,51887
461,106030,212521,52703,52243
462,106491,213444,50943,50482
463,106953,214369,51094,50632
464,107416,215296,53020,52557
465,107880,216225,55672,55208
466,108345,217156,54095,53630
467,108811,218089,53386,52920
468,109278,219024,55466,54999
469,109746,219961,55175,54707
470,110215,220900,57319,56850
471,110685,221841,56810,56340
472,111156,222784,56489,56018
473,111628,223729,55660,55188
474,112101,224676,56478,56005
475,112575,225625,58391,57917
476,113050,226576,58342,57867
477,113526,227529,53997,53521
478,114003,228484,56253,55776
479,114481,229441,58238,57760
480,114960,230400,55420,54941
481,115440,231361,59508,59028
482,115921,232324,61558,61077
483,116403,233289,58490,58008
484,116886,234256,58688,58205
485,117370,235225,58673,58189
486,117855,236196,59635,59150
487,118341,237169,60041,59555
488,118828,238144,61375,60888
489,119316,239121,61829,61341
490,119805,240100,57928,57439
491,120295,241081,61667,61177
492,120786,242064,61916,61425
493,121278,243049,61131,60639
494,121771,244036,59307,58814
495,122265,245025,60768,60274
496,122760,246016,59638,59143
497,123256,247009,61770,61274
498,123753,248004,60562,60065
499,124251,249001,63406,62908
500,124750,250000,60551,60052
501,125250,251001,65397,64897
502,125751,252004,64039,63538
503,126253,253009,63811,63309
504,126756,254016,60776,60273
505,127260,255025,64254,63750
506,127765,256036,64326,63821
507,128271,257049,65846,65340
508,128778,258064,66705,66198
509,129286,259081,65978,65470
510,129795,260100,64001,63492
511,130305,261121,66257,65747
512,130816,262144,65351,64840
513,131328,263169,61645,61133
514,131841,264196,66480,65967
515,132355,265225,63564,63050
516,132870,266256,67375,66860
517,133386,267289,67001,66485
518,133903,268324,65456,64939
519,134421,269361,66437,65919
520,134940,270400,71282,70763
521,135460,271441,66840,66320
522,135981,272484,66152,65631
523,136503,273529,69089,68567
524,137026,274576,64130,63607
525,137550,275625,68439,67915
526,138075,276676,65738,65213
527,138601,277729,68748,68222
528,139128,278784,72962,72435
529,139656,279841,71599,71071
530,140185,280900,67619,67090
531,140715,281961,72642,72112
532,141246,283024,72421,71890
533,141778,284089,71579,71047
534,142311,285156,71732,71199
535,142845,286225,73576,73042
536,143380,287296,73211,72676
537,143916,288369,71861,71325
538,144453,289444,70710,70173
539,144991,290521,72490,71952
540,145530,291600,73087,72548
541,146070,292681,75966,75426
542,146611,293764,73537,72996
543,147153,294849,72217,71675
544,147696,295936,71200,70657
545,148240,297025,73764,73220
546,148785,298116,74077,73532
547,149331,299209,72078,71532
548,149878,300304,75942,75395
549,150426,301401,74776,74228
550,150975,302500,75404,74855
551,151525,303601,76870,76320
552,152076,304704,74156,73605
553,152628,305809,83192,82640
554,153181,306916,76080,75527
555,153735,308025,75534,74980
556,154290,309136,77098,76543
557,154846,310249,77262,76706
558,155403,311364,74576,74019
559,155961,312481,75784,75226
560,156520,313600,79894,79335
561,157080,314721,81244,80684
562,157641,315844,78839,78278
563,158203,316969,79901,79339
564,158766,318096,78907,78344
565,159330,319225,84452,83888
566,159895,320356,80281,79716
567,160461,321489,78089,77523
568,161028,322624,80275,79708
569,161596,323761,78668,78100
570,162165,324900,79796,79227
571,162735,326041,81257,80687
572,163306,327184,83689,83118
573,163878,328329,81744,81172
574,164451,329476,86572,85999
575,165025,330625,85103,84529
576,165600,331776,82144,81569
577,166176,332929,84485,83909
578,166753,334084,84586,84009
579,167331,335241,88390,87812
580,167910,336400,84617,84038
581,168490,337561,84896,84316
582,169071,338724,87356,86775
583,169653,339889,88588,88006
584,170236,341056,87310,86727
585,170820,342225,83005,82421
586,171405,343396,88464,87879
587,171991,344569,91763,91177
588,172578,345744,88143,87556
589,173166,346921,87469,86881
590,173755,348100,88300,87711
591,174345,349281,90970,90380
592,174936,350464,88653,88062
593,175528,351649,95548,94956
594,176121,352836,85716,85123
595,176715,354025,90450,89856
596,177310,355216,91718,91123
597,177906,356409,92225,91629
598,178503,357604,88805,88208
599,179101,358801,91431,90833
600,179700,360000,90367,89768
601,180300,361201,92671,92071
602,180901,362404,91877,91276
603,181503,363609,91558,90956
604,182106,364816,94078,93475
605,182710,366025,94000,93396
606,183315,367236,94825,94220
607,183921,368449,88840,88234
608,184528,369664,93780,93173
609,185136,370881,97424,96816
610,185745,372100,95486,94877
611,186355,373321,100072,99462
612,186966,374544,93135,92524
613,187578,375769,92731,92119
614,188191,376996,93029,92416
615,188805,378225,98628,98014
616,189420,379456,96111,95496
617,190036,380689,96780,96164
618,190653,381924,95856,95239
619,191271,383161,94848,94230
620,191890,384400,97673,97054
621,192510,385641,98296,97676
622,193131,386884,95169,94548
623,193753,388129,98188,97566
624,194376,389376,92268,91645
625,195000,390625,96416,95792
626,195625,391876,98043,97418
627,196251,393129,99215,98589
628,196878,394384,98303,97676
629,197506,395641,95408,94780
630,198135,396900,98183,97554
631,198765,398161,96343,95713
632,199396,399424,103609,102978
633,200028,400689,97092,96460
634,200661,401956,107369,106736
635,201295,403225,104327,103693
636,201930,404496,101903,101268
637,202566,405769,102822,102186
638,203203,407044,99701,99064
639,203841,408321,100538,99900
640,204480,409600,96531,95892
641,205120,410881,103320,102680
642,205761,412164,99947,99306
643,206403,413449,106481,105839
644,207046,414736,101426,100783
645,207690,416025,102589,101945
646,208335,417316,105576,104931
647,208981,418609,105711,105065
648,209628,419904,109735,109088
649,210276,421201,104152,103504
650,210925,422500,106447,105798
651,211575,423801,101948,101298
652,212226,425104,106849,106198
653,212878,426409,106647,105995
654,213531,427716,110772,110119
655,214185,429025,109553,108899
656,214840,430336,106809,106154
657,215496,431649,109968,109312
658,216153,432964,112035,111378
659,216811,434281,106933,106275
660,217470,435600,107762,107103
661,218130,436921,112685,112025
662,218791,438244,107197,106536
663,219453,439569,110287,109625
664,220116,440896,109133,108470
665,220780,442225,112697,112033
666,221445,443556,106709,106044
667,222111,444889,104285,103619
668,222778,446224,113487,112820
669,223446,447561,113409,112741
670,224115,448900,113412,112743
671,224785,450241,112978,112308
672,225456,451584,111757,111086
673,226128,452929,110911,110239
674,226801,454276,110585,109912
675,227475,455625,111907,111233
676,228150,456976,116644,115969
677,228826,458329,117768,117092
678,229503,459684,119492,118815
679,230181,461041,111943,111265
680,230860,462400,116316,115637
681,231540,463761,117936,117256
682,232221,465124,117266,116585
683,232903,466489,123004,122322
684,233586,467856,113106,112423
685,234270,469225,120240,119556
686,234955,470596,115015,114330
687,235641,471969,119921,119235
688,236328,473344,123290,122603
689,237016,474721,118580,117892
690,237705,476100,119223,118534
691,238395,477481,120189,119499
692,239086,478864,121152,120461
693,239778,480249,128585,127893
694,240471,481636,114689,113996
695,241165,483025,125698,125004
696,241860,484416,119727,119032
697,242556,485809,125246,124550
698,243253,487204,125935,125238
699,243951,488601,125245,124547
700,244650,490000,122640,121941
701,245350,491401,129231,128531
702,246051,492804,115436,114735
703,246753,494209,114820,114118
704,247456,495616,122556,121853
705,248160,497025,126029,125325
706,248865,498436,128334,127629
707,249571,499849,127120,126414
708,250278,501264,119748,119041
709,250986,502681,124878,124170
710,251695,504100,130306,129597
711,252405,505521,123502,122792
712,253116,506944,129322,128611
713,253828,508369,128027,127315
714,254541,509796,129687,128974
715,255255,511225,129501,128787
716,255970,512656,131580,130865
717,256686,514089,129245,128529
718,257403,515524,131246,130529
719,258121,516961,127440,126722
720,258840,518400,125461,124742
721,259560,519841,131275,130555
722,260281,521284,130476,129755
723,261003,522729,133856,133134
724,261726,524176,129456,128733
725,262450,525625,130127,129403
726,263175,527076,127266,126541
727,263901,528529,134965,134239
728,264628,529984,140687,139960
729,265356,531441,133767,133039
730,266085,532900,132354,131625
731,266815,534361,134516,133786
732,267546,535824,133307,132576
733,268278,537289,132809,132077
734,269011,538756,138333,137600
735,269745,540225,135202,134468
736,270480,541696,136387,135652
737,271216,543169,132117,131381
738,271953,544644,142287,141550
739,272691,546121,129652,128914
740,273430,547600,143365,142626
741,274170,549081,139528,138788
742,274911,550564,136927,136186
743,275653,552049,145396,144654
744,276396,553536,137416,136673
745,277140,555025,136203,135459
746,277885,556516,141099,140354
747,278631,558009,142025,141279
748,279378,559504,139823,139076
749,280126,561001,143875,143127
750,280875,562500,143241,142492
751,281625,564001,138182,137432
752,282376,565504,143629,142878
753,283128,567009,136560,135808
754,283881,568516,135987,135234
755,284635,570025,146826,146072
756,285390,571536,147529,146774
757,286146,573049,136694,135938
758,286903,574564,143325,142568
759,287661,576081,136208,135450
760,288420,577600,138994,138235
761,289180,579121,147436,146676
762,289941,580644,150133,149372
763,290703,582169,149617,148855
764,291466,583696,143834,143071
765,292230,585225,149601,148837
766,292995,586756,141708,140943
767,293761,588289,143105,142339
768,294528,589824,150991,150224
769,295296,591361,153700,152932
770,296065,592900,144998,144229
771,296835,594441,149819,149049
772,297606,595984,149903,149132
773,298378,597529,147706,146934
774,299151,599076,151253,150480
775,299925,600625,151918,151144
776,300700,602176,143830,143055
777,301476,603729,154114,153338
778,302253,605284,150672,149895
779,303031,606841,150806,150028
780,303810,608400,148756,147977
781,304590,609961,153490,152710
782,305371,611524,148566,147785
783,306153,613089,153520,152738
784,306936,614656,150101,149318
785,307720,616225,152579,151795
786,308505,617796,150697,149912
787,309291,619369,157032,156246
788,310078,620944,160899,160112
789,310866,622521,155590,154802
790,311655,624100,156379,155590
791,312445,625681,166423,165633
792,313236,627264,153207,152416
793,314028,628849,157268,156476
794,314821,630436,163037,162244
795,315615,632025,156439,155645
796,316410,633616,155594,154799
797,317206,635209,160692,159896
798,318003,636804,162283,161486
799,318801,638401,160848,160050
800,319600,640000,156291,155492
801,320400,641601,157226,156426
802,321201,643204,164512,163711
803,322003,644809,159381,158579
804,322806,646416,164690,163887
805,323610,648025,166721,165917
806,324415,649636,164369,163564
807,325221,651249,161919,161113
808,326028,652864,163910,163103
809,326836,654481,162709,161901
810,327645,656100,171675,170866
811,328455,657721,174826,174016
812,329266,659344,163622,162811
813,330078,660969,169783,168971
814,330891,662596,169361,168548
815,331705,664225,171671,170857
816,332520,665856,162021,161206
817,333336,667489,167306,166490
818,334153,669124,167842,167025
819,334971,670761,165292,164474
820,335790,672400,170874,170055
821,336610,674041,164245,163425
822,337431,675684,169852,169031
823,338253,677329,171532,170710
824,339076,678976,165259,164436
825,339900,680625,170880,170056
826,340725,682276,176282,175457
827,341551,683929,173590,172764
828,342378,685584,175672,174845
829,343206,687241,160206,159378
830,344035,688900,176029,175200
831,344865,690561,173221,172391
832,345696,692224,176734,175903
833,346528,693889,176087,175255
834,347361,695556,174438,173605
835,348195,697225,164751,163917
836,349030,698896,174131,173296
837,349866,700569,175523,174687
838,350703,702244,173998,173161
839,351541,703921,180366,179528
840,352380,705600,175192,174353
841,353220,707281,179101,178261
842,354061,708964,169270,168429
843,354903,710649,175550,174708
844,355746,712336,180877,180034
845,356590,714025,180996,180152
846,357435,715716,181094,180249
847,358281,717409,181837,180991
848,359128,719104,188065,187218
849,359976,720801,177782,176934
850,360825,722500,178171,177322
851,361675,724201,180581,179731
852,362526,725904,178037,177186
853,363378,727609,191734,190882
854,364231,729316,184501,183648
855,365085,731025,186294,185440
856,365940,732736,182382,181527
857,366796,734449,174024,173168
858,367653,736164,182792,181935
859,368511,737881,194357,193499
860,369370,739600,186331,185472
861,370230,741321,185309,184449
862,371091,743044,182859,181998
863,371953,744769,187715,186853
864,372816,746496,194523,193660
865,373680,748225,195464,194600
866,374545,749956,186501,185636
867,375411,751689,184939,184073
868,376278,753424,193533,192666
869,377146,755161,193317,192449
870,378015,756900,189624,188755
871,378885,758641,192053,191183
872,379756,760384,189682,188811
873,380628,762129,200559,199687
874,381501,763876,186545,185672
875,382375,765625,190979,190105
876,383250,767376,189406,188531
877,384126,769129,188909,188033
878,385003,770884,193022,192145
879,385881,772641,182287,181409
880,386760,774400,193482,192603
881,387640,776161,199288,198408
882,388521,777924,195635,194754
883,389403,779689,194252,193370
884,390286,781456,193974,193091
885,391170,783225,197155,196271
886,392055,784996,193767,192882
887,392941,786769,193710,192824
888,393828,788544,197013,196126
889,394716,790321,197337,196449
890,395605,792100,201043,200154
891,396495,793881,200929,200039
892,397386,795664,203619,202728
893,398278,797449,199415,198523
894,399171,799236,197673,196780
895,400065,801025,198872,197978
896,400960,802816,206432,205537
897,401856,804609,207086,206190
898,402753,806404,203745,202848
899,403651,808201,204252,203354
900,404550,810000,206368,205469
901,405450,811801,194183,193283
902,406351,813604,208221,207320
903,407253,815409,218289,217387
904,408156,817216,205741,204838
905,409060,819025,208142,207238
906,409965,820836,201599,200694
907,410871,822649,209595,208689
908,411778,824464,209029,208122
909,412686,826281,219000,218092
910,413595,828100,211569,210660
911,414505,829921,212355,211445
912,415416,831744,200143,199232
913,416328,833569,201919,201007
914,417241,835396,204859,203946
915,418155,837225,208310,207396
916,419070,839056,213713,212798
917,419986,840889,206394,205478
918,420903,842724,207874,206957
919,421821,844561,211292,210374
920,422740,846400,210429,209510
921,423660,848241,209034,208114
922,424581,850084,211370,210449
923,425503,851929,206909,205987
924,426426,853776,217603,216680
925,427350,855625,212856,211932
926,428275,857476,217080,216155
927,429201,859329,215718,214792
928,430128,861184,209800,208873
929,431056,863041,213504,212576
930,431985,864900,221747,220818
931,432915,866761,220255,219325
932,433846,868624,213894,212963
933,434778,870489,218175,217243
934,435711,872356,213562,212629
935,436645,874225,209927,208993
936,437580,876096,223044,222109
937,438516,877969,220314,219378
938,439453,879844,208479,207542
939,440391,881721,225272,224334
940,441330,883600,225549,224610
941,442270,885481,215912,214972
942,443211,887364,223134,222193
943,444153,889249,226236,225294
944,445096,891136,216197,215254
945,446040,893025,227286,226342
946,446985,894916,235496,234551
947,447931,896809,216068,215122
948,448878,898704,219632,218685
949,449826,900601,225013,224065
950,450775,902500,223924,222975
951,451725,904401,219605,218655
952,452676,906304,232438,231487
953,453628,908209,216597,215645
954,454581,910116,221262,220309
955,455535,912025,228855,227901
956,456490,913936,226461,225506
957,457446,915849,231278,230322
958,458403,917764,233113,232156
959,459361,919681,226532,225574
960,460320,921600,233349,232390
961,461280,923521,238859,237899
962,462241,925444,232349,231388
963,463203,927369,227511,226549
964,464166,929296,229761,228798
965,465130,931225,230363,229399
966,466095,933156,236138,235173
967,467061,935089,236590,235624
968,468028,937024,234150,233183
969,468996,938961,235081,234113
970,469965,940900,231977,231008
971,470935,942841,223742,222772
972,471906,944784,240557,239586
973,472878,946729,236334,235362
974,473851,948676,239016,238043
975,474825,950625,240085,239111
976,475800,952576,243364,242389
977,476776,954529,236446,235470
978,477753,956484,232757,231780
979,478731,958441,242592,241614
980,479710,960400,237354,236375
981,480690,962361,244399,243419
982,481671,964324,251658,250677
983,482653,966289,238591,237609
984,483636,968256,234327,233344
985,484620,970225,244712,243728
986,485605,972196,240930,239945
987,486591,974169,248139,247153
988,487578,976144,241759,240772
989,488566,978121,239540,238552
990,489555,980100,248998,248009
991,490545,982081,237337,236347
992,491536,984064,248838,247847
993,492528,986049,250529,249537
994,493521,988036,247266,246273
995,494515,990025,250988,249994
996,495510,992016,245302,244307
997,496506,994009,240626,239630
998,497503,996004,250318,249321
999,498501,998001,252731,251733
1000,499500,1000000,242587,241588
